2018-03-11 16:01:27 INFO  root:119 - Измерение total_moth для Димитрова лечебный есть1
2018-03-11 16:01:29 INFO  CustomerServiceImpl:118 - Contact saved with id: 110
2018-03-11 16:01:29 INFO  root:129 - Данные для преобразования excel для Димитрова лечебный готовы
2018-03-11 16:01:29 INFO  root:133 - excel для Димитрова лечебный сформирован
2018-03-11 16:01:29 INFO  root:110 - Данные daily для Димитрова копр. 2 сформированы
2018-03-11 16:01:29 INFO  root:119 - Измерение total_moth для Димитрова копр. 2 есть1
2018-03-11 16:01:29 INFO  CustomerServiceImpl:118 - Contact saved with id: 111
2018-03-11 16:01:29 INFO  root:129 - Данные для преобразования excel для Димитрова копр. 2 готовы
2018-03-11 16:01:29 INFO  root:133 - excel для Димитрова копр. 2 сформирован
2018-03-11 16:01:29 INFO  root:110 - Данные daily для Долина нарзанов тп-5 сформированы
2018-03-11 16:01:29 INFO  root:119 - Измерение total_moth для Долина нарзанов тп-5 есть1
2018-03-11 16:01:29 INFO  CustomerServiceImpl:118 - Contact saved with id: 115
2018-03-11 16:01:29 INFO  root:129 - Данные для преобразования excel для Долина нарзанов тп-5 готовы
2018-03-11 16:01:29 INFO  root:133 - excel для Долина нарзанов тп-5 сформирован
2018-03-11 16:01:30 INFO  root:110 - Данные daily для Долина нарзанов тп-10 сформированы
2018-03-11 16:01:30 INFO  root:119 - Измерение total_moth для Долина нарзанов тп-10 есть1
2018-03-11 16:01:30 INFO  CustomerServiceImpl:118 - Contact saved with id: 118
2018-03-11 16:01:30 INFO  root:129 - Данные для преобразования excel для Долина нарзанов тп-10 готовы
2018-03-11 16:01:30 INFO  root:133 - excel для Долина нарзанов тп-10 сформирован
2018-03-11 16:01:30 INFO  root:110 - Данные daily для Елизаров Вокзальная 17 сформированы
2018-03-11 16:01:30 INFO  root:119 - Измерение total_moth для Елизаров Вокзальная 17 есть1
2018-03-11 16:01:30 INFO  CustomerServiceImpl:118 - Contact saved with id: 120
2018-03-11 16:01:30 INFO  root:129 - Данные для преобразования excel для Елизаров Вокзальная 17 готовы
2018-03-11 16:01:30 INFO  root:133 - excel для Елизаров Вокзальная 17 сформирован
2018-03-11 16:01:31 INFO  root:110 - Данные daily для Жемчужина Кавказа сформированы
2018-03-11 16:01:31 INFO  root:119 - Измерение total_moth для Жемчужина Кавказа есть1
2018-03-11 16:01:31 INFO  CustomerServiceImpl:118 - Contact saved with id: 122
2018-03-11 16:01:31 INFO  root:129 - Данные для преобразования excel для Жемчужина Кавказа готовы
2018-03-11 16:01:31 INFO  root:133 - excel для Жемчужина Кавказа сформирован
2018-03-11 16:01:31 INFO  root:110 - Данные daily для Западный луч сформированы
2018-03-11 16:01:31 INFO  root:119 - Измерение total_moth для Западный луч есть1
2018-03-11 16:01:31 INFO  CustomerServiceImpl:118 - Contact saved with id: 123
2018-03-11 16:01:32 INFO  root:129 - Данные для преобразования excel для Западный луч готовы
2018-03-11 16:01:32 INFO  root:133 - excel для Западный луч сформирован
2018-03-11 16:01:32 INFO  root:110 - Данные daily для Заря гл корпус сформированы
2018-03-11 16:01:32 INFO  root:119 - Измерение total_moth для Заря гл корпус есть1
2018-03-11 16:01:32 INFO  CustomerServiceImpl:118 - Contact saved with id: 124
2018-03-11 16:01:32 INFO  root:129 - Данные для преобразования excel для Заря гл корпус готовы
2018-03-11 16:01:32 INFO  root:133 - excel для Заря гл корпус сформирован
2018-03-11 16:01:32 INFO  root:110 - Данные daily для Заря дача сформированы
2018-03-11 16:01:32 INFO  root:119 - Измерение total_moth для Заря дача есть1
2018-03-11 16:01:32 INFO  CustomerServiceImpl:118 - Contact saved with id: 125
2018-03-11 16:01:32 INFO  root:129 - Данные для преобразования excel для Заря дача готовы
2018-03-11 16:01:32 INFO  root:133 - excel для Заря дача сформирован
2018-03-11 16:01:32 INFO  root:110 - Данные daily для Кирова корп. Известия сформированы
2018-03-11 16:01:32 INFO  root:119 - Измерение total_moth для Кирова корп. Известия есть1
2018-03-11 16:01:32 INFO  CustomerServiceImpl:118 - Contact saved with id: 132
2018-03-11 16:01:32 INFO  root:129 - Данные для преобразования excel для Кирова корп. Известия готовы
2018-03-11 16:01:32 INFO  root:133 - excel для Кирова корп. Известия сформирован
